iter	Passed	Remaining
0	7	727
1	13	654
2	17	581
3	20	500
4	24	471
5	29	465
6	32	437
7	35	410
8	38	389
9	41	371
10	44	361
11	47	346
12	49	332
13	52	320
14	54	310
15	57	300
16	59	290
17	61	280
18	63	272
19	66	264
20	68	256
21	70	250
22	72	244
23	75	237
24	77	231
25	79	225
26	81	219
27	83	213
28	85	208
29	87	203
30	89	198
31	91	194
32	93	189
33	95	184
34	97	180
35	99	176
36	101	172
37	103	168
38	105	165
39	107	161
40	109	157
41	110	152
42	112	148
43	114	145
44	116	142
45	118	139
46	120	135
47	122	132
48	124	129
49	126	126
50	127	122
51	129	119
52	131	116
53	133	113
54	134	109
55	135	106
56	137	103
57	138	100
58	140	97
59	141	94
60	142	91
61	144	88
62	145	85
63	147	82
64	148	79
65	149	77
66	151	74
67	152	71
68	154	69
69	155	66
70	157	64
71	159	61
72	160	59
73	161	56
74	163	54
75	164	51
76	165	49
77	167	47
78	168	44
79	170	42
80	171	40
81	172	37
82	174	35
83	175	33
84	176	31
85	178	29
86	179	26
87	181	24
88	182	22
89	183	20
90	185	18
91	186	16
92	188	14
93	189	12
94	191	10
95	192	8
96	193	5
97	194	3
98	196	1
99	197	0
