iter	Passed	Remaining
0	168	167844
1	172	86251
2	176	58493
3	178	44465
4	180	35933
5	182	30170
6	183	26080
7	185	22973
8	187	20616
9	188	18673
10	189	17082
11	191	15755
12	194	14730
13	195	13800
14	197	12958
15	198	12218
16	199	11564
17	201	10987
18	203	10485
19	204	10022
20	207	9677
21	208	9290
22	210	8946
23	212	8642
24	213	8342
25	215	8062
26	216	7805
27	217	7562
28	219	7340
29	222	7197
30	224	7007
31	225	6825
32	227	6661
33	229	6508
34	230	6355
35	231	6208
36	233	6068
37	235	5967
38	237	5855
39	239	5736
40	240	5622
41	241	5513
42	243	5410
43	244	5313
44	246	5228
45	247	5139
46	250	5070
47	251	4988
48	252	4909
49	254	4843
50	256	4769
51	257	4697
52	259	4628
53	260	4562
54	263	4528
55	265	4467
56	266	4406
57	267	4347
58	269	4293
59	271	4249
60	272	4197
61	274	4145
62	275	4095
63	278	4068
64	280	4030
65	281	3984
66	282	3939
67	284	3896
68	285	3854
69	287	3814
70	288	3781
71	290	3742
72	292	3718
73	294	3681
74	295	3645
75	297	3616
76	298	3581
77	300	3547
78	301	3514
79	302	3482
80	304	3450
81	308	3452
82	309	3417
83	310	3389
84	312	3360
85	314	3337
86	315	3313
87	317	3285
88	318	3259
89	319	3233
90	321	3216
91	324	3198
92	325	3173
93	326	3149
94	328	3125
95	329	3101
96	330	3078
97	332	3061
98	334	3040
99	336	3031
100	338	3009
101	339	2989
102	341	2974
103	342	2954
104	344	2935
105	345	2916
106	347	2897
107	348	2878
108	351	2874
109	353	2856
110	354	2838
111	355	2820
112	356	2802
113	358	2788
114	360	2772
115	362	2759
116	363	2745
117	366	2738
118	368	2724
119	369	2712
120	372	2703
121	373	2688
122	376	2684
123	378	2676
124	380	2662
125	381	2647
126	382	2631
127	384	2620
128	386	2607
129	387	2593
130	389	2580
131	390	2567
132	391	2553
133	395	2554
134	396	2541
135	398	2528
136	399	2516
137	400	2504
138	402	2495
139	404	2482
140	405	2470
141	406	2455
142	408	2451
143	411	2446
144	413	2436
145	415	2428
146	417	2422
147	420	2419
148	421	2409
149	424	2404
150	425	2394
151	428	2387
152	429	2379
153	431	2368
154	432	2357
155	433	2347
156	435	2336
157	437	2332
158	439	2325
159	441	2315
160	441	2303
161	444	2297
162	445	2289
163	447	2280
164	448	2270
165	450	2261
166	452	2256
167	453	2247
168	455	2239
169	456	2231
170	458	2222
171	459	2213
172	461	2204
173	462	2196
174	464	2189
175	466	2186
176	468	2177
177	469	2169
178	471	2161
179	472	2154
180	474	2146
181	475	2137
182	477	2129
183	478	2121
184	479	2113
185	483	2113
186	484	2107
187	486	2100
188	487	2092
189	489	2086
190	491	2080
191	492	2072
192	493	2064
193	495	2060
194	498	2058
195	500	2052
196	502	2048
197	504	2041
198	505	2034
199	506	2027
200	508	2021
201	511	2018
202	512	2012
203	513	2005
204	515	1998
205	517	1993
206	518	1986
207	519	1979
208	521	1972
209	522	1966
210	524	1959
211	527	1960
212	528	1954
213	530	1947
214	531	1940
215	532	1934
216	534	1929
217	536	1923
218	537	1917
219	539	1911
220	541	1908
221	543	1903
222	544	1897
223	545	1890
224	547	1884
225	548	1878
226	549	1872
227	551	1867
228	553	1862
229	556	1861
230	557	1855
231	558	1849
232	560	1845
233	561	1839
234	563	1833
235	564	1828
236	566	1822
237	567	1818
238	570	1818
239	572	1812
240	573	1806
241	575	1801
242	576	1795
243	578	1791
244	579	1786
245	581	1781
246	582	1777
247	586	1777
248	588	1774
249	590	1770
250	591	1765
251	593	1761
252	595	1759
253	598	1758
254	636	1858
255	638	1854
256	640	1850
257	642	1846
258	644	1844
259	648	1845
260	671	1900
261	673	1897
262	675	1892
263	677	1888
264	682	1893
265	685	1892
266	687	1888
267	689	1884
268	708	1926
269	712	1927
270	714	1922
271	716	1918
272	719	1914
273	721	1912
274	723	1907
275	727	1908
276	730	1906
277	732	1901
278	734	1897
279	736	1893
280	739	1892
281	743	1893
282	764	1936
283	768	1937
284	770	1933
285	776	1938
286	778	1933
287	793	1961
288	796	1960
289	800	1959
290	802	1955
291	807	1956
292	809	1952
293	811	1948
294	813	1943
295	815	1939
296	817	1935
297	819	1930
298	822	1928
299	824	1923
300	825	1917
301	827	1912
302	828	1906
303	829	1900
304	831	1894
305	833	1889
306	834	1884
307	836	1879
308	838	1874
309	839	1869
310	841	1863
311	842	1857
312	843	1852
313	845	1846
314	846	1841
315	849	1838
316	850	1833
317	852	1828
318	854	1823
319	855	1817
320	857	1813
321	858	1808
322	860	1802
323	861	1797
324	864	1794
325	866	1790
326	867	1785
327	868	1780
328	870	1774
329	871	1769
330	872	1764
331	874	1759
332	876	1755
333	880	1754
334	884	1756
335	886	1751
336	887	1746
337	888	1740
338	890	1735
339	891	1731
340	894	1727
341	895	1722
342	896	1717
343	897	1712
344	899	1708
345	901	1704
346	902	1699
347	904	1694
348	906	1691
349	908	1687
350	910	1682
351	911	1677
352	912	1673
353	914	1667
354	915	1663
355	916	1658
356	918	1654
357	921	1652
358	922	1647
359	924	1642
360	925	1638
361	927	1634
362	928	1629
363	930	1625
364	931	1620
365	933	1616
366	936	1615
367	937	1610
368	939	1606
369	940	1601
370	941	1597
371	943	1592
372	945	1588
373	946	1585
374	948	1581
375	951	1579
376	953	1575
377	954	1571
378	956	1566
379	957	1562
380	959	1559
381	961	1554
382	962	1550
383	964	1546
384	965	1542
385	967	1538
386	968	1533
387	970	1530
388	971	1526
389	972	1521
390	974	1517
391	975	1513
392	977	1509
393	980	1508
394	981	1503
395	983	1499
396	985	1496
397	987	1493
398	988	1489
399	990	1485
400	991	1481
401	993	1478
402	995	1474
403	997	1471
404	998	1466
405	999	1462
406	1001	1458
407	1002	1454
408	1003	1450
409	1005	1447
410	1007	1443
411	1009	1440
412	1010	1436
413	1012	1432
414	1013	1429
415	1015	1425
416	1016	1421
417	1017	1417
418	1019	1413
419	1020	1409
420	1023	1407
421	1025	1404
422	1026	1400
423	1027	1396
424	1029	1392
425	1030	1388
426	1032	1385
427	1033	1381
428	1034	1377
429	1036	1373
430	1038	1371
431	1040	1368
432	1042	1364
433	1043	1360
434	1044	1357
435	1046	1353
436	1047	1349
437	1049	1346
438	1050	1342
439	1053	1340
440	1054	1337
441	1056	1333
442	1058	1330
443	1059	1326
444	1060	1323
445	1062	1319
446	1063	1315
447	1064	1312
448	1068	1310
449	1069	1307
450	1071	1304
451	1073	1300
452	1074	1297
453	1076	1294
454	1077	1291
455	1079	1287
456	1080	1283
457	1083	1281
458	1085	1278
459	1086	1275
460	1087	1271
461	1089	1268
462	1090	1264
463	1091	1261
464	1093	1258
465	1094	1254
466	1097	1252
467	1099	1249
468	1100	1245
469	1102	1242
470	1103	1239
471	1104	1235
472	1106	1232
473	1107	1228
474	1108	1225
475	1111	1223
476	1114	1221
477	1116	1218
478	1117	1215
479	1120	1213
480	1122	1210
481	1123	1207
482	1126	1205
483	1128	1203
484	1130	1200
485	1131	1196
486	1132	1193
487	1134	1189
488	1135	1186
489	1137	1183
490	1138	1180
491	1141	1178
492	1142	1175
493	1144	1172
494	1145	1168
495	1147	1165
496	1148	1162
497	1150	1159
498	1151	1156
499	1152	1152
500	1153	1149
501	1157	1148
502	1158	1145
503	1160	1141
504	1161	1138
505	1164	1136
506	1165	1133
507	1166	1130
508	1168	1126
509	1170	1124
510	1173	1122
511	1174	1119
512	1176	1117
513	1177	1113
514	1179	1110
515	1180	1107
516	1182	1104
517	1183	1101
518	1186	1099
519	1187	1096
520	1189	1093
521	1190	1090
522	1192	1087
523	1193	1084
524	1194	1081
525	1196	1077
526	1197	1074
527	1201	1073
528	1202	1070
529	1203	1067
530	1205	1064
531	1206	1061
532	1208	1058
533	1209	1055
534	1211	1052
535	1212	1049
536	1215	1047
537	1217	1045
538	1218	1042
539	1220	1039
540	1221	1036
541	1222	1033
542	1224	1030
543	1226	1027
544	1227	1024
545	1230	1023
546	1231	1020
547	1233	1017
548	1235	1014
549	1236	1011
550	1237	1008
551	1239	1006
552	1241	1003
553	1244	1001
554	1245	998
555	1247	996
556	1248	993
557	1250	990
558	1251	987
559	1253	984
560	1254	981
561	1255	978
562	1257	976
563	1259	973
564	1262	971
565	1264	969
566	1265	966
567	1266	963
568	1268	960
569	1270	958
570	1271	955
571	1274	953
572	1275	950
573	1277	947
574	1278	945
575	1280	942
576	1281	939
577	1283	936
578	1284	934
579	1285	931
580	1289	929
581	1290	927
582	1292	924
583	1293	921
584	1295	918
585	1296	916
586	1298	913
587	1299	910
588	1301	907
589	1303	906
590	1305	903
591	1307	900
592	1308	898
593	1310	895
594	1311	892
595	1312	889
596	1314	887
597	1316	884
598	1318	882
599	1319	879
600	1321	877
601	1323	874
602	1324	871
603	1325	869
604	1327	866
605	1328	863
606	1329	860
607	1333	859
608	1334	856
609	1335	853
610	1337	851
611	1341	850
612	1343	847
613	1344	845
614	1347	843
615	1349	841
616	1351	838
617	1352	835
618	1353	833
619	1355	830
620	1356	827
621	1358	825
622	1359	822
623	1362	821
624	1364	818
625	1365	816
626	1368	814
627	1369	811
628	1371	808
629	1372	805
630	1373	803
631	1375	800
632	1377	798
633	1378	795
634	1380	793
635	1381	790
636	1382	787
637	1385	785
638	1386	783
639	1387	780
640	1389	778
641	1391	775
642	1393	773
643	1394	770
644	1396	768
645	1397	765
646	1398	763
647	1400	760
648	1402	758
649	1403	755
650	1405	753
651	1407	751
652	1408	748
653	1410	746
654	1411	743
655	1413	741
656	1414	738
657	1415	735
658	1417	733
659	1420	731
660	1421	729
661	1423	726
662	1424	724
663	1425	721
664	1427	719
665	1429	716
666	1430	714
667	1431	711
668	1433	709
669	1435	707
670	1437	704
671	1438	702
